Treść pytania, odpowiedź poprawna, Odpowiedź 1, Odpowiedź 2, Odpowiedź 3
Kiedy pojawił się człowiek rozumny?, Około 200 tysięcy lat temu., Około 500 tysięcy lat temu.
Kiedy były początki rolnictwa?, Około 10 tysięcy lat p.n.e., Około 50 tysięcy lat p.n.e.
Kiedy był początek epoki żelaza?, Około 1200 lat p.n.e., Około 2000 lat p.n.e.
Przodkowie dzisiejszego człowieka to:, Praludzie., Pradziadkowie.
Podaj nazwę wędrownego trybu życia., Koczowniczy., Koczkodany.
Co to jest rewolucja neolityczna?, Proces przejścia człowieka z koczowniczego na osiadły tryb życia.
Które z dwóch wymienionych słów są elementami koczowniczego trybu życia?, Jaskinia oraz zbieractwo., Hodowla zwierząt oraz rolnictwo.
Jak nazywa się okres w dziejach, w którym do wyrobu narzędzi używano kamienie?, Epoka kamienna., Epoka skórzana.
Jak nazywa się okres w dziejach, w którym do wyrobu narzędzi używano żelazo?, Epoka żelaza., Epoka brązu. 
Jak nazywa się okres w dziejach, w którym do wyrobu narzędzi używano brąz?, Epoka brązu., Epoka żelaza.
Gdzie leżała Mezopotamia?, Na Bliskim Wschodzie., W Afryce.
Co to jest cywilizacja?, Rozwinięte społeczeństwo, które budowało miasta, posługiwało się pismem i stworzyło własne państwo., Prymitywne państwo.
Kto stworzył pierwszą cywilizację na terenie Mezopotamii?, Sumerowie., Arabowie.
Co to są miasta-państwa?, Niewielkie państwa. W jego skład wchodziło miasto z najbliższą okolicą., Jedno miasto, które jest państwem.
Jaki lud wymyślił żagiel?, Sumerowie., Polacy.
Kto wymyslił koło?, Sumerowie., Grecy.
Kto opracował system liczenia, którego podstawą była liczba 60?, Sumerowie. Babilończycy.
Sumeryjskie pismo to:, Pismo klinowe., Pismo obrazkowe.
Co to takiego zikkurat?, Kilkupietrowa świątynia Sumerów ze schodami prowadzącymi na jej szczyt do kaplicy., Rogate bós two Greków.
Jakie funkcje pełnił król sumeryskiego miasta-państwa?, Był królem i kapłanem., Był królem robotnikiem.
Sumeryjskie miasto-państwo na dwie litery to:, Ur., Ar.
Nad jakimi rzekami powstała Babilonia?, Nad Tygrysem i Eufratem., Nad Tamizą i Olzą.
Stolica Babilonii to:, Babilon., Baobab.
Kto podbił sumeryjskie miasta-państwa?, Hammurabi., Maharadża.
Najstarszy babiloński zbiór praw to:, Kodeks Hammurabiego., Księga Hrabiego.
Kiedy powstało państwo egipskie?, Około 3000 lat p.n.e., Około 20 000 lat p.n.e.
W dolinie jakiej rzeki powstało państwo egipskie?, Nil., Ganges.
Kto był najważniejszą osobą w państwie egipskim?, Faraon., Kapłan.
Kto doradzał faraonowi?, Kapłani., Starożytni Grecy.
Co to jest politeizm? Wiara w wielu bogów., Miłość do ojczyzny.
Bóg-słońce w starożytnym Egpcie to:, Ra., Kra.
Piramidy to: Grobowce faraonów., Materiały wybuchowe.
Jak się nazywa pismo obrazkowe opracowane przez Egipcjan?, Hieroglify., Papirusy.
Co zawdzięczamy Egipcjanom?, Kalendarz, w którym rok liczy 365 dni., Pismo klinowe.

 

 
